1|1|1|04-02-2018T12:12:03Z|04-02-2018T12:14:15Z
1|1|2|04-02-2018T12:14:15Z|04-02-2018T12:16:56Z
1|1|3|04-02-2018T12:16:56Z|04-02-2018T12:25:25Z
1|1|4|04-02-2018T12:25:25Z|04-02-2018T12:32:11Z
1|1|5|04-02-2018T12:32:11Z|04-02-2018T12:35:19Z
1|1|8|04-02-2018T12:35:19Z|04-02-2018T12:39:58Z
1|2|2|05-02-2018T14:02:02|05-02-2018T14:08:24Z
1|2|4|05-02-2018T14:08:24Z|05-02-2018T14:12:23Z
1|2|6|05-02-2018T14:12:23Z|05-02-2018T14:17:24Z
1|2|8|05-02-2018T14:17:24Z|05-02-2018T14:23:34Z
1|2|10|05-02-2018T14:23:34Z|05-02-2018T14:30:00Z
2|3|7|05-02-2018T15:02:02|05-02-2018T15:07:33Z
2|3|9|05-02-2018T15:07:33Z|05-02-2018T15:11:23Z
2|3|11|05-02-2018T15:11:23Z|05-02-2018T15:18:25Z
2|3|12|05-02-2018T15:18:25Z|05-02-2018T15:25:45Z
2|3|13|05-02-2018T15:25:45Z|05-02-2018T15:29:55Z
2|4|5|06-02-2018T16:00:34|06-02-2018T16:03:05Z
2|4|6|06-02-2018T16:03:05Z|06-02-2018T16:09:11Z
2|4|7|06-02-2018T16:09:11Z|06-02-2018T16:13:56Z
2|4|9|06-02-2018T16:13:56Z|06-02-2018T16:19:23Z
2|4|13|06-02-2018T16:19:23Z|06-02-2018T16:24:34Z
1|5|5|06-02-2018T17:34:34|06-02-2018T17:38:32Z
1|5|6|06-02-2018T17:38:32Z|06-02-2018T17:41:54Z
1|5|7|06-02-2018T17:41:54Z|06-02-2018T17:55:09Z
2|6|10|08-02-2018T18:32:32|08-02-2018T18:35:22Z
2|6|11|08-02-2018T18:35:22Z|08-02-2018T18:45:23Z
2|6|12|08-02-2018T18:45:23Z|08-02-2018T18:49:56Z
